[2019-10-08 16:55:38,429] [INFO ] [main] [exa.gct.datamodel] Generating config for datamodel: default_model on schemas: [default_model] on pipes: [default_model/ap0] on logics: [sl0]
[2019-10-08 16:55:38,452] [INFO ] [main] [exa.gct.datamodel] Generating config for datamodel: sximodel on schemas: [sximodel] on pipes: [sximodel/sxiap] on logics: [sxisl]
[2019-10-08 16:55:38,453] [INFO ] [main] [exa.gct.datamodel] Checking the generated configuration
[2019-10-08 16:55:38,671] [INFO ] [main] [exa.gct.datamodel] Checking other configuration
[2019-10-08 16:55:38,891] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor found

[2019-10-08 16:55:38,892] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CopyMetasAggregationProcessor found

[2019-10-08 16:55:38,892] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor' processor configuration: Error: Plugin processor error for com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor: no component of class com.exalead.papi.enovia.commons.consolidation.CalculatePathAggregationProcessor found

[2019-10-08 16:55:38,892] [WARN ] [main] [exa.gct.consolidation] Failed to instantiate 'com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor' processor configuration: Error: Plugin processor error for com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor: no component of class com.exalead.drive.consobox.transformation.CADAwareParentChildrenExtractor found

[2019-10-08 16:55:39,064] [INFO ] [main] [exa.gct.searchtarget] Checking configuration
[2019-10-08 16:55:39,313] [INFO ] [main] [exa.gct.replay] Configuring replay server...
[2019-10-08 16:55:39,344] [INFO ] [main] [exa.gct.build] Using dscore-index from /busapps/dpmu/gbl0/3DSpaceIndex/linux_a64/cv/amd64-linux/lib/dscore-index/dscore-index for process searchserver-ss0
